"colname","OTU","class","order","family","genus","epithet","BOLD","BOLDID","size","best.name","auc","tjur","incidence","test.noSites","test.incid"
"R2460.5__Insecta_Diptera_Muscidae_Helina_evecta_BOLD_AAC2498_size.2189","R2460.5","Insecta","Diptera","Muscidae","Helina","evecta","BOLD","AAC2498","size.2189","Helina_evecta_AAC2498",0.795454545454545,0.0922397127750762,0.120879120879121,8,0.266666666666667
"R2500.5__Insecta_Hymenoptera_Formicidae_Lasius_NA_BOLD_AAE1550_size.1938","R2500.5","Insecta","Hymenoptera","Formicidae","Lasius",NA,"BOLD","AAE1550","size.1938","Lasius_AAE1550",0.792,0.0535555575239171,0.0659340659340659,5,0.166666666666667
"R2583.137__Insecta_Lepidoptera_Argyresthiidae_Argyresthia_NA_BOLD_AAF5253_size.15","R2583.137","Insecta","Lepidoptera","Argyresthiidae","Argyresthia",NA,"BOLD","AAF5253","size.15","Argyresthia_AAF5253",1,0.121627372379104,0.0989010989010989,1,0.0333333333333333
"R2585.64__Insecta_Psocodea_Psocidae_Loensia_NA_BOLD_ACC5693_size.613","R2585.64","Insecta","Psocodea","Psocidae","Loensia",NA,"BOLD","ACC5693","size.613","Loensia_ACC5693",0.857142857142857,0.0834242609423763,0.0989010989010989,2,0.0666666666666667
"R2694.5__Insecta_Coleoptera_Cerambycidae_Stenostrophia_NA_BOLD_ABW6219_size.1211","R2694.5","Insecta","Coleoptera","Cerambycidae","Stenostrophia",NA,"BOLD","ABW6219","size.1211","Stenostrophia_ABW6219",0.987654320987654,0.242023233866775,0.0879120879120879,3,0.1
"R2775.3__Insecta_Hymenoptera_Ichneumonidae_NA_NA_BOLD_ACI9191_size.2219","R2775.3","Insecta","Hymenoptera","Ichneumonidae",NA,NA,"BOLD","ACI9191","size.2219","Ichneumonidae_ACI9191",0.783068783068783,0.223047381789281,0.285714285714286,9,0.3
"R2987.3__Insecta_Coleoptera_Cerambycidae_Lepturopsis_dolorosa_BOLD_AAJ1376_size.5036","R2987.3","Insecta","Coleoptera","Cerambycidae","Lepturopsis","dolorosa","BOLD","AAJ1376","size.5036","Lepturopsis_dolorosa_AAJ1376",0.712,0.0727217255781094,0.153846153846154,5,0.166666666666667
"R3027.4__Insecta_Lepidoptera_Gelechiidae_Bryotropha_NA_BOLD_AAC5850_size.177","R3027.4","Insecta","Lepidoptera","Gelechiidae","Bryotropha",NA,"BOLD","AAC5850","size.177","Bryotropha_AAC5850",0.896551724137931,0.197884156636831,0.0879120879120879,1,0.0333333333333333
"R3129.67__Insecta_Diptera_Chloropidae_Dasyopa_NA_BOLD_ADI1308_size.55","R3129.67","Insecta","Diptera","Chloropidae","Dasyopa",NA,"BOLD","ADI1308","size.55","Dasyopa_ADI1308",0.740740740740741,0.0850403722215897,0.131868131868132,3,0.1
"R3258.88__Insecta_Hemiptera_Aphididae_Essigella_wilsoni_BOLD_ACC4249_size.13","R3258.88","Insecta","Hemiptera","Aphididae","Essigella","wilsoni","BOLD","ACC4249","size.13","Essigella_wilsoni_ACC4249",0.770334928229665,0.0762568710452061,0.21978021978022,11,0.366666666666667
"R3500.3__Insecta_Hymenoptera_Apidae_Bombus_sitkensis_BOLD_ACU8557_size.1191","R3500.3","Insecta","Hymenoptera","Apidae","Bombus","sitkensis","BOLD","ACU8557","size.1191","Bombus_sitkensis_ACU8557",1,0.185808602506402,0.186813186813187,1,0.0333333333333333
"R3540.4__Insecta_Lepidoptera_Geometridae_Ceratodalia_gueneata_BOLD_AAA5705_size.21947","R3540.4","Insecta","Lepidoptera","Geometridae","Ceratodalia","gueneata","BOLD","AAA5705","size.21947","Ceratodalia_gueneata_AAA5705",0.714285714285714,0.137572258799559,0.681318681318681,14,0.466666666666667
"R3651.2__Insecta_Diptera_Syrphidae_Melanostoma_mellinum_BOLD_AAB2866_size.493","R3651.2","Insecta","Diptera","Syrphidae","Melanostoma","mellinum","BOLD","AAB2866","size.493","Melanostoma_mellinum_AAB2866",0.827586206896552,0.064897334690195,0.10989010989011,1,0.0333333333333333
"R3851.4__Insecta_Hymenoptera_Scelionidae_Telenomus_NA_BOLD_ACX1641_size.80","R3851.4","Insecta","Hymenoptera","Scelionidae","Telenomus",NA,"BOLD","ACX1641","size.80","Telenomus_ACX1641",0.785714285714286,0.0494219097546285,0.0879120879120879,2,0.0666666666666667
"R3862.4__Insecta_Hymenoptera_Pompilidae_Aporus_NA_BOLD_ACQ4467_size.768","R3862.4","Insecta","Hymenoptera","Pompilidae","Aporus",NA,"BOLD","ACQ4467","size.768","Aporus_ACQ4467",0.75,0.0970577453015542,0.142857142857143,8,0.266666666666667
"R3869.44__Insecta_Hymenoptera_Ichneumonidae_NA_NA_BOLD_ABY7035_size.576","R3869.44","Insecta","Hymenoptera","Ichneumonidae",NA,NA,"BOLD","ABY7035","size.576","Ichneumonidae_ABY7035",0.759615384615385,0.115388687079151,0.197802197802198,4,0.133333333333333
"R3899.2__Insecta_Coleoptera_Coccinellidae_Cycloneda_polita_BOLD_ACA6292_size.978","R3899.2","Insecta","Coleoptera","Coccinellidae","Cycloneda","polita","BOLD","ACA6292","size.978","Cycloneda_polita_ACA6292",0.896,0.153554411385364,0.175824175824176,5,0.166666666666667
"R3928.2__Insecta_Diptera_Keroplatidae_NA_NA_BOLD_ACU5785_size.389","R3928.2","Insecta","Diptera","Keroplatidae",NA,NA,"BOLD","ACU5785","size.389","Keroplatidae_ACU5785",0.728,0.0883968462484578,0.186813186813187,5,0.166666666666667
"R3962.3__Insecta_Coleoptera_Cleridae_Enoclerus_NA_BOLD_AAG5716_size.257","R3962.3","Insecta","Coleoptera","Cleridae","Enoclerus",NA,"BOLD","AAG5716","size.257","Enoclerus_AAG5716",0.862068965517241,0.0790019728619745,0.0989010989010989,1,0.0333333333333333
"R4008.2__Insecta_Psocodea_Amphipsocidae_Polypsocus_corruptus_BOLD_AAM8933_size.41","R4008.2","Insecta","Psocodea","Amphipsocidae","Polypsocus","corruptus","BOLD","AAM8933","size.41","Polypsocus_corruptus_AAM8933",0.931034482758621,0.177379233737762,0.0989010989010989,1,0.0333333333333333
"R4045.2__Insecta_Lepidoptera_Blastobasidae_Blastobasis_glandulella_BOLD_AAG8588_size.365","R4045.2","Insecta","Lepidoptera","Blastobasidae","Blastobasis","glandulella","BOLD","AAG8588","size.365","Blastobasis_glandulella_AAG8588",0.888,0.15926165886883,0.175824175824176,5,0.166666666666667
"R4065.4__Insecta_Diptera_Cecidomyiidae_NA_NA_BOLD_ADC1777_size.80","R4065.4","Insecta","Diptera","Cecidomyiidae",NA,NA,"BOLD","ADC1777","size.80","Cecidomyiidae_ADC1777",0.77639751552795,0.133588679675547,0.0989010989010989,7,0.233333333333333
"R4069.6__Insecta_Diptera_Rhagionidae_NA_NA_BOLD_ACX1094_size.14821","R4069.6","Insecta","Diptera","Rhagionidae",NA,NA,"BOLD","ACX1094","size.14821","Rhagionidae_ACX1094",0.901785714285714,0.481937524175183,0.637362637362637,16,0.533333333333333
"R4086.4__Insecta_Diptera_Sciaridae_Hyperlasion_wasmanni_BOLD_ACX4194_size.392","R4086.4","Insecta","Diptera","Sciaridae","Hyperlasion","wasmanni","BOLD","ACX4194","size.392","Hyperlasion_wasmanni_ACX4194",0.798611111111111,0.0698074519918871,0.10989010989011,6,0.2
"R4091.6__Insecta_Diptera_Asilidae_Nevadasilus_NA_BOLD_AAH2298_size.3235","R4091.6","Insecta","Diptera","Asilidae","Nevadasilus",NA,"BOLD","AAH2298","size.3235","Nevadasilus_AAH2298",0.875,0.157798382605856,0.142857142857143,4,0.133333333333333
"R4213.5__Insecta_Coleoptera_Cerambycidae_Necydalis_laevicollis_BOLD_ACT4277_size.998","R4213.5","Insecta","Coleoptera","Cerambycidae","Necydalis","laevicollis","BOLD","ACT4277","size.998","Necydalis_laevicollis_ACT4277",0.896551724137931,0.122202809414312,0.10989010989011,1,0.0333333333333333
"R4278.5__Insecta_Raphidioptera_Raphidiidae_Agulla_NA_BOLD_ACA6997_size.2491","R4278.5","Insecta","Raphidioptera","Raphidiidae","Agulla",NA,"BOLD","ACA6997","size.2491","Agulla_ACA6997",0.803571428571429,0.148460841959431,0.230769230769231,2,0.0666666666666667
"R4314.8__Insecta_Diptera_Chironomidae_NA_NA_BOLD_ACB9301_size.860","R4314.8","Insecta","Diptera","Chironomidae",NA,NA,"BOLD","ACB9301","size.860","Chironomidae_ACB9301",0.875598086124402,0.351578568338704,0.274725274725275,11,0.366666666666667
"R4391__Insecta_Diptera_Mycetophilidae_Syntemna_NA_BOLD_ACN8370_size.116","R4391","Insecta","Diptera","Mycetophilidae","Syntemna",NA,"BOLD","ACN8370","size.116","Syntemna_ACN8370",0.827586206896552,0.141495526371795,0.10989010989011,1,0.0333333333333333
"R4409__Insecta_Diptera_Keroplatidae_NA_NA_BOLD_ACJ0826_size.2301","R4409","Insecta","Diptera","Keroplatidae",NA,NA,"BOLD","ACJ0826","size.2301","Keroplatidae_ACJ0826",0.805,0.270561393413179,0.362637362637363,10,0.333333333333333
"R4439.18__Insecta_Lepidoptera_Blastobasidae_Hypatopa_simplicella_BOLD_AAB9632_size.414","R4439.18","Insecta","Lepidoptera","Blastobasidae","Hypatopa","simplicella","BOLD","AAB9632","size.414","Hypatopa_simplicella_AAB9632",0.767857142857143,0.132508245948077,0.0989010989010989,2,0.0666666666666667
"R4490.7__Insecta_Coleoptera_Elateridae_Pseudanostirus_propolus_BOLD_ACG1380_size.65","R4490.7","Insecta","Coleoptera","Elateridae","Pseudanostirus","propolus","BOLD","ACG1380","size.65","Pseudanostirus_propolus_ACG1380",0.942307692307692,0.181719611552604,0.120879120879121,4,0.133333333333333
"R4590.7__Insecta_Lepidoptera_Ypsolophidae_Ypsolopha_rubrella_BOLD_AAF5804_size.376","R4590.7","Insecta","Lepidoptera","Ypsolophidae","Ypsolopha","rubrella","BOLD","AAF5804","size.376","Ypsolopha_rubrella_AAF5804",0.732142857142857,0.0485811911210129,0.0769230769230769,2,0.0666666666666667
"R4774.5__Insecta_Coleoptera_Elateridae_Hemicrepidius_NA_BOLD_ACJ3091_size.314","R4774.5","Insecta","Coleoptera","Elateridae","Hemicrepidius",NA,"BOLD","ACJ3091","size.314","Hemicrepidius_ACJ3091",0.931034482758621,0.129763647820265,0.0769230769230769,1,0.0333333333333333
"R4915.24__Insecta_Coleoptera_NA_NA_NA_BOLD_ACI6600_size.282","R4915.24","Insecta","Coleoptera",NA,NA,NA,"BOLD","ACI6600","size.282","Coleoptera_ACI6600",0.875,0.109098984904232,0.197802197802198,2,0.0666666666666667
"R4954.8__Insecta_Hymenoptera_Diprionidae_Neodiprion_NA_BOLD_ACJ5807_size.432","R4954.8","Insecta","Hymenoptera","Diprionidae","Neodiprion",NA,"BOLD","ACJ5807","size.432","Neodiprion_ACJ5807",1,0.26646875789045,0.120879120879121,2,0.0666666666666667
"R5032.18__Insecta_Diptera_Chironomidae_NA_NA_BOLD_AAP8994_size.83","R5032.18","Insecta","Diptera","Chironomidae",NA,NA,"BOLD","AAP8994","size.83","Chironomidae_AAP8994",0.791666666666667,0.145617092047379,0.131868131868132,6,0.2
"R5034.12__Insecta_Coleoptera_Elateridae_Athous_sierrae_BOLD_AAP7790_size.808","R5034.12","Insecta","Coleoptera","Elateridae","Athous","sierrae","BOLD","AAP7790","size.808","Athous_sierrae_AAP7790",0.864197530864197,0.2019626551256,0.142857142857143,3,0.1
"R5061__Insecta_Diptera_Sciaridae_Bradysia_browni_BOLD_ACD0175_size.1916","R5061","Insecta","Diptera","Sciaridae","Bradysia","browni","BOLD","ACD0175","size.1916","Bradysia_browni_ACD0175",0.773333333333333,0.177120125624869,0.582417582417582,15,0.5
"R5073.9__Insecta_Lepidoptera_Oecophoridae_Denisia_haydenella_BOLD_AAD4867_size.227","R5073.9","Insecta","Lepidoptera","Oecophoridae","Denisia","haydenella","BOLD","AAD4867","size.227","Denisia_haydenella_AAD4867",0.730769230769231,0.107433475338732,0.0989010989010989,4,0.133333333333333
"R5100.2__Insecta_Diptera_Syrphidae_Eupeodes_NA_BOLD_AAB2384_size.717","R5100.2","Insecta","Diptera","Syrphidae","Eupeodes",NA,"BOLD","AAB2384","size.717","Eupeodes_AAB2384",0.862068965517241,0.00405268367576656,0.10989010989011,1,0.0333333333333333
"R5132.18__Insecta_Hymenoptera_Braconidae_Dinotrema_NA_BOLD_ABX5161_size.8","R5132.18","Insecta","Hymenoptera","Braconidae","Dinotrema",NA,"BOLD","ABX5161","size.8","Dinotrema_ABX5161",0.875,0.1267724280423,0.142857142857143,2,0.0666666666666667
"R5415.8__Insecta_Diptera_Cecidomyiidae_NA_NA_BOLD_ACC1724_size.183","R5415.8","Insecta","Diptera","Cecidomyiidae",NA,NA,"BOLD","ACC1724","size.183","Cecidomyiidae_ACC1724",0.732919254658385,0.163402753286295,0.307692307692308,7,0.233333333333333
"R5478.25__Insecta_Coleoptera_Cerambycidae_Pidonia_quadrata_BOLD_AAD4910_size.62","R5478.25","Insecta","Coleoptera","Cerambycidae","Pidonia","quadrata","BOLD","AAD4910","size.62","Pidonia_quadrata_AAD4910",0.931034482758621,0.0832722025318607,0.0879120879120879,1,0.0333333333333333
"R5480.10__Insecta_Diptera_Sciaridae_Cratyna_NA_BOLD_ACG6762_size.64","R5480.10","Insecta","Diptera","Sciaridae","Cratyna",NA,"BOLD","ACG6762","size.64","Cratyna_ACG6762",0.928571428571429,0.190681516303725,0.175824175824176,2,0.0666666666666667
"R5487__Insecta_Diptera_Cecidomyiidae_NA_NA_BOLD_ACB9264_size.260","R5487","Insecta","Diptera","Cecidomyiidae",NA,NA,"BOLD","ACB9264","size.260","Cecidomyiidae_ACB9264",0.84,0.30042546885709,0.197802197802198,5,0.166666666666667
"R5519.10__Insecta_Coleoptera_NA_NA_NA_BOLD_AAL8070_size.32","R5519.10","Insecta","Coleoptera",NA,NA,NA,"BOLD","AAL8070","size.32","Coleoptera_AAL8070",0.931034482758621,0.101832504614374,0.0659340659340659,1,0.0333333333333333
"R5526.10__Insecta_Coleoptera_NA_NA_NA_BOLD_ACI9871_size.503","R5526.10","Insecta","Coleoptera",NA,NA,NA,"BOLD","ACI9871","size.503","Coleoptera_ACI9871",0.74,0.154746128960202,0.252747252747253,10,0.333333333333333
"R5559.3__Insecta_Coleoptera_Scraptiidae_Anaspis_NA_BOLD_AAP7056_size.440","R5559.3","Insecta","Coleoptera","Scraptiidae","Anaspis",NA,"BOLD","AAP7056","size.440","Anaspis_AAP7056",0.779904306220096,0.163050013408659,0.373626373626374,11,0.366666666666667
"R5701.3__Insecta_Diptera_Cecidomyiidae_NA_NA_BOLD_AAU9541_size.8","R5701.3","Insecta","Diptera","Cecidomyiidae",NA,NA,"BOLD","AAU9541","size.8","Cecidomyiidae_AAU9541",0.785,0.164150041046863,0.285714285714286,10,0.333333333333333
"R5713.14__Insecta_Diptera_Syrphidae_Parasyrphus_relictus_BOLD_AAL3233_size.1357","R5713.14","Insecta","Diptera","Syrphidae","Parasyrphus","relictus","BOLD","AAL3233","size.1357","Parasyrphus_relictus_AAL3233",1,0.398903001958206,0.0989010989010989,1,0.0333333333333333
"R5718.21__Insecta_Lepidoptera_Blastobasidae_Hypatopa_NA_BOLD_ABW8333_size.187","R5718.21","Insecta","Lepidoptera","Blastobasidae","Hypatopa",NA,"BOLD","ABW8333","size.187","Hypatopa_ABW8333",0.721153846153846,0.0664231161467913,0.164835164835165,4,0.133333333333333
"R5765.3__Insecta_Coleoptera_NA_NA_NA_BOLD_AAP7198_size.122","R5765.3","Insecta","Coleoptera",NA,NA,NA,"BOLD","AAP7198","size.122","Coleoptera_AAP7198",0.777777777777778,0.0448881577349964,0.0989010989010989,3,0.1
"R5800.32__Insecta_Diptera_Cecidomyiidae_NA_NA_BOLD_ACT5330_size.34","R5800.32","Insecta","Diptera","Cecidomyiidae",NA,NA,"BOLD","ACT5330","size.34","Cecidomyiidae_ACT5330",0.848,0.167723253073539,0.120879120879121,5,0.166666666666667
"R5808.20__Insecta_Neuroptera_Hemerobiidae_Hemerobius_stigma_BOLD_AAG0891_size.166","R5808.20","Insecta","Neuroptera","Hemerobiidae","Hemerobius","stigma","BOLD","AAG0891","size.166","Hemerobius_stigma_AAG0891",0.724137931034483,0.0369805628005629,0.120879120879121,1,0.0333333333333333
"R5811.2__Insecta_Raphidioptera_Raphidiidae_Agulla_unicolor_BOLD_ACA6995_size.789","R5811.2","Insecta","Raphidioptera","Raphidiidae","Agulla","unicolor","BOLD","ACA6995","size.789","Agulla_unicolor_ACA6995",0.961538461538462,0.36726912998294,0.131868131868132,4,0.133333333333333
"R5861.2__Insecta_Diptera_Keroplatidae_NA_NA_BOLD_AAP9077_size.407","R5861.2","Insecta","Diptera","Keroplatidae",NA,NA,"BOLD","AAP9077","size.407","Keroplatidae_AAP9077",0.756944444444444,0.0664597495148579,0.208791208791209,6,0.2
"R5909.2__Insecta_Diptera_Phoridae_Megaselia_NA_BOLD_ACU6891_size.195","R5909.2","Insecta","Diptera","Phoridae","Megaselia",NA,"BOLD","ACU6891","size.195","Megaselia_ACU6891",0.735449735449735,0.0851920288864267,0.32967032967033,9,0.3
"R5928.2__Insecta_Lepidoptera_Copromorphidae_Ellabella_editha_BOLD_ABX3483_size.558","R5928.2","Insecta","Lepidoptera","Copromorphidae","Ellabella","editha","BOLD","ABX3483","size.558","Ellabella_editha_ABX3483",0.75,0.0841111613142727,0.153846153846154,2,0.0666666666666667
"R5991__Insecta_Coleoptera_Elateridae_Dolerosomus_NA_BOLD_ACI5951_size.121","R5991","Insecta","Coleoptera","Elateridae","Dolerosomus",NA,"BOLD","ACI5951","size.121","Dolerosomus_ACI5951",0.716049382716049,0.0630221981489201,0.10989010989011,3,0.1
"R6080__Insecta_Diptera_Keroplatidae_NA_NA_BOLD_AAP9078_size.662","R6080","Insecta","Diptera","Keroplatidae",NA,NA,"BOLD","AAP9078","size.662","Keroplatidae_AAP9078",0.872,0.29542956047216,0.186813186813187,5,0.166666666666667
"R6164.2__Insecta_Hymenoptera_Formicidae_Formica_NA_BOLD_AAA4975_size.339","R6164.2","Insecta","Hymenoptera","Formicidae","Formica",NA,"BOLD","AAA4975","size.339","Formica_AAA4975",0.758620689655172,0.0658898677719736,0.252747252747253,1,0.0333333333333333
"R6191__Insecta_Diptera_Muscidae_Phaonia_NA_BOLD_ACI3443_size.232652","R6191","Insecta","Diptera","Muscidae","Phaonia",NA,"BOLD","ACI3443","size.232652","Phaonia_ACI3443",0.816964285714286,0.390677068959035,0.648351648351648,14,0.466666666666667
"R6736.9__Insecta_Diptera_Cecidomyiidae_NA_NA_BOLD_ACX4695_size.39","R6736.9","Insecta","Diptera","Cecidomyiidae",NA,NA,"BOLD","ACX4695","size.39","Cecidomyiidae_ACX4695",0.830687830687831,0.230001283831101,0.208791208791209,9,0.3
"R7337__Insecta_Diptera_Syrphidae_Milesia_pulchra_BOLD_AAY9056_size.62348","R7337","Insecta","Diptera","Syrphidae","Milesia","pulchra","BOLD","AAY9056","size.62348","Milesia_pulchra_AAY9056",0.788461538461538,0.19375502566198,0.230769230769231,4,0.133333333333333
"R7405__Insecta_Diptera_Muscidae_Phaonia_NA_BOLD_ACE6851_size.3610","R7405","Insecta","Diptera","Muscidae","Phaonia",NA,"BOLD","ACE6851","size.3610","Phaonia_ACE6851",0.848,0.195554316293759,0.164835164835165,5,0.166666666666667
"R7564.11__Insecta_Psocodea_Philotarsidae_Philotarsus_californicus_BOLD_ACU2415_size.67","R7564.11","Insecta","Psocodea","Philotarsidae","Philotarsus","californicus","BOLD","ACU2415","size.67","Philotarsus_californicus_ACU2415",0.777777777777778,0.110135213007276,0.0879120879120879,3,0.1
"R7753.15__Insecta_Hymenoptera_Ichneumonidae_Campoletis_NA_BOLD_ACG1630_size.234","R7753.15","Insecta","Hymenoptera","Ichneumonidae","Campoletis",NA,"BOLD","ACG1630","size.234","Campoletis_ACG1630",0.732142857142857,0.0318156206847364,0.0769230769230769,2,0.0666666666666667
"R9024.3__Insecta_Coleoptera_Curculionidae_Anisandrus_NA_BOLD_AAD0158_size.391","R9024.3","Insecta","Coleoptera","Curculionidae","Anisandrus",NA,"BOLD","AAD0158","size.391","Anisandrus_AAD0158",0.788461538461538,0.137323070950329,0.186813186813187,4,0.133333333333333
"R9073.3__Insecta_Diptera_NA_NA_NA_BOLD_ACF6271_size.3304","R9073.3","Insecta","Diptera",NA,NA,NA,"BOLD","ACF6271","size.3304","Diptera_ACF6271",0.835978835978836,0.255362090019007,0.384615384615385,9,0.3
"R9119__Insecta_Diptera_Muscidae_Phaonia_nigricauda_BOLD_AAP6480_size.1261","R9119","Insecta","Diptera","Muscidae","Phaonia","nigricauda","BOLD","AAP6480","size.1261","Phaonia_nigricauda_AAP6480",0.851851851851852,0.123418025517215,0.120879120879121,3,0.1
"R9141.5__Insecta_Diptera_Anthomyiidae_NA_NA_BOLD_ACC2962_size.1166","R9141.5","Insecta","Diptera","Anthomyiidae",NA,NA,"BOLD","ACC2962","size.1166","Anthomyiidae_ACC2962",0.807692307692308,0.124405539121757,0.131868131868132,4,0.133333333333333
"R9361.2__Insecta_Hemiptera_Miridae_NA_NA_BOLD_ACC4475_size.186","R9361.2","Insecta","Hemiptera","Miridae",NA,NA,"BOLD","ACC4475","size.186","Miridae_ACC4475",0.788819875776397,0.161477743156301,0.175824175824176,7,0.233333333333333
"R9414.6__Insecta_Diptera_NA_NA_NA_BOLD_ACM5761_size.348","R9414.6","Insecta","Diptera",NA,NA,NA,"BOLD","ACM5761","size.348","Diptera_ACM5761",0.7,0.107823485260208,0.285714285714286,10,0.333333333333333
